brand,distress,waist_rise,length,fit,number_of_pockets,stretch,price,rating,number_of_ratings
Moda Rapido,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,749,4.2,84
Jack & Jones,Clean Look,Low-Rise,Regular,Skinny Fit,5,Stretchable,2379,4.4,17
HERE&NOW,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,879,3.9,506
Forca by Lifestyle,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,749,4.3,30
Jack & Jones,Clean Look,Low-Rise,Regular,Slim Fit,5,Stretchable,2294,4.5,64
Mast & Harbour,Clean Look,Mid-Rise,Regular,Wide Leg,5,Stretchable,791,3.6,59
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1499,4.3,21
Jack & Jones,Clean Look,Low-Rise,Regular,Slim Fit,5,Stretchable,1249,4.2,270
Roadster,Low Distress,Mid-Rise,Regular,Skinny Fit,5,Stretchable,599,3.7,869
Urbano Fashion,Clean Look,Mid-Rise,Regular,Bootcut,5,Stretchable,797,3.9,1100
Urbano Plus,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,1199,4.5,25
Roadster,Clean Look,Mid-Rise,Regular,Skinny Fit,5,Stretchable,629,4.0,441
Mast & Harbour,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,1112,3.7,124
Powerlook,Clean Look,Mid-Rise,Regular,Regular Fit,6 and more,Non Stretchable,1880,4.133333333333333,124
Roadster,Clean Look,Mid-Rise,Regular,Skinny Fit,5,Stretchable,664,3.7,3200
Flying Machine,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1374,4.2,162
VAN HEUSEN DENIM LABS,Clean Look,Mid-Rise,Regular,Slim Fit,5,Non Stretchable,2414,3.9866666666666664,162
Flying Machine,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1646,4.1,284
WROGN,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1079,4.6,5
HIGHLANDER,Clean Look,Mid-Rise,Regular,Relaxed Fit,5,Stretchable,624,3.7,75
Roadster,Clean Look,Mid-Rise,Regular,Straight Fit,5,Stretchable,839,4.0,5
Mast & Harbour,Clean Look,Mid-Rise,Regular,Relaxed Fit,5,Non Stretchable,999,4.5,40
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,2999,4.3,6400
Kook N Keech,Clean Look,Mid-Rise,Regular,Regular Fit,6 and more,Stretchable,791,4.2,115
Jack & Jones,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,1499,4.1,183
Roadster,Clean Look,Mid-Rise,Cropped,Regular Fit,5,Stretchable,779,3.9,666
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1499,4.3,44
Jack & Jones,Clean Look,Low-Rise,Regular,Slim Fit,5,Stretchable,2124,4.2,24
Hubberholme,Clean Look,Mid-Rise,Regular,Relaxed Fit,5,Stretchable,1359,4.0,249
Jack & Jones,Clean Look,Mid-Rise,Regular,Straight Fit,5,Stretchable,2294,4.2,132
Jack & Jones,Clean Look,Low-Rise,Regular,Slim Fit,5,Stretchable,1649,4.2,139
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Non Stretchable,1829,4.4,239
Roadster,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,619,4.0,458
VAN HEUSEN DENIM LABS,Clean Look,Mid-Rise,Regular,Slim Fit,4,Non Stretchable,1724,3.9866666666666664,458
Ducati,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1224,4.8,9
Roadster,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,879,3.9,658
Mast & Harbour,Mildly Distressed,Mid-Rise,Regular,Skinny Fit,5,Stretchable,639,3.9,682
HERE&NOW,Highly Distressed,Mid-Rise,Regular,Skinny Fit,5,Stretchable,599,3.5,381
Jack & Jones,Clean Look,Low-Rise,Regular,Skinny Fit,5,Stretchable,1749,4.0,137
Moda Rapido,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,599,4.0,151
Roadster,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,854,3.9,764
KETCH,Clean Look,Mid-Rise,Cropped,Skinny Fit,5,Stretchable,609,3.8,1100
Roadster,Clean Look,Mid-Rise,Regular,Skinny Fit,5,Stretchable,584,3.9,384
WROGN,Clean Look,Mid-Rise,Regular,Straight Fit,5,Stretchable,1121,4.3,11
Sztori,Clean Look,Mid-Rise,Regular,Tapered Fit,5,Stretchable,989,4.1,1700
HERE&NOW,Clean Look,Mid-Rise,Regular,Relaxed Fit,5,Stretchable,965,4.1,66
Urbano Plus,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,1471,4.3,143
Urbano Fashion,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,639,3.8,2800
Moda Rapido,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,749,4.2,84
Jack & Jones,Clean Look,Low-Rise,Regular,Skinny Fit,5,Stretchable,2379,4.4,17
HERE&NOW,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,879,3.9,506
Forca by Lifestyle,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,749,4.3,30
Jack & Jones,Clean Look,Low-Rise,Regular,Slim Fit,5,Stretchable,2294,4.5,64
Mast & Harbour,Clean Look,Mid-Rise,Regular,Wide Leg,5,Stretchable,791,3.6,59
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1499,4.3,21
Jack & Jones,Clean Look,Low-Rise,Regular,Slim Fit,5,Stretchable,1249,4.2,270
Roadster,Low Distress,Mid-Rise,Regular,Skinny Fit,5,Stretchable,599,3.7,869
Urbano Fashion,Clean Look,Mid-Rise,Regular,Bootcut,5,Stretchable,797,3.9,1100
Urbano Plus,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,1199,4.5,25
Roadster,Clean Look,Mid-Rise,Regular,Skinny Fit,5,Stretchable,629,4.0,441
Mast & Harbour,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,1112,3.7,124
Powerlook,Clean Look,Mid-Rise,Regular,Regular Fit,6 and more,Non Stretchable,1880,4.133333333333333,124
Roadster,Clean Look,Mid-Rise,Regular,Skinny Fit,5,Stretchable,664,3.7,3200
Flying Machine,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1374,4.2,162
VAN HEUSEN DENIM LABS,Clean Look,Mid-Rise,Regular,Slim Fit,5,Non Stretchable,2414,3.9866666666666664,162
Flying Machine,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1646,4.1,284
WROGN,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1079,4.6,5
HIGHLANDER,Clean Look,Mid-Rise,Regular,Relaxed Fit,5,Stretchable,624,3.7,75
Roadster,Clean Look,Mid-Rise,Regular,Straight Fit,5,Stretchable,839,4.0,5
Mast & Harbour,Clean Look,Mid-Rise,Regular,Relaxed Fit,5,Non Stretchable,999,4.5,40
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,2999,4.3,6400
Kook N Keech,Clean Look,Mid-Rise,Regular,Regular Fit,6 and more,Stretchable,791,4.2,115
Jack & Jones,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,1499,4.1,183
Roadster,Clean Look,Mid-Rise,Cropped,Regular Fit,5,Stretchable,779,3.9,666
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1499,4.3,44
Jack & Jones,Clean Look,Low-Rise,Regular,Slim Fit,5,Stretchable,2124,4.2,24
Hubberholme,Clean Look,Mid-Rise,Regular,Relaxed Fit,5,Stretchable,1359,4.0,249
Jack & Jones,Clean Look,Mid-Rise,Regular,Straight Fit,5,Stretchable,2294,4.2,132
Jack & Jones,Clean Look,Low-Rise,Regular,Slim Fit,5,Stretchable,1649,4.2,139
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Non Stretchable,1829,4.4,239
Roadster,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,619,4.0,458
VAN HEUSEN DENIM LABS,Clean Look,Mid-Rise,Regular,Slim Fit,4,Non Stretchable,1724,3.9866666666666664,458
Ducati,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1224,4.8,9
Roadster,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,879,3.9,658
Mast & Harbour,Mildly Distressed,Mid-Rise,Regular,Skinny Fit,5,Stretchable,639,3.9,682
HERE&NOW,Highly Distressed,Mid-Rise,Regular,Skinny Fit,5,Stretchable,599,3.5,381
Jack & Jones,Clean Look,Low-Rise,Regular,Skinny Fit,5,Stretchable,1749,4.0,137
Moda Rapido,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,599,4.0,151
Roadster,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,854,3.9,764
KETCH,Clean Look,Mid-Rise,Cropped,Skinny Fit,5,Stretchable,609,3.8,1100
Roadster,Clean Look,Mid-Rise,Regular,Skinny Fit,5,Stretchable,584,3.9,384
WROGN,Clean Look,Mid-Rise,Regular,Straight Fit,5,Stretchable,1121,4.3,11
Sztori,Clean Look,Mid-Rise,Regular,Tapered Fit,5,Stretchable,989,4.1,1700
HERE&NOW,Clean Look,Mid-Rise,Regular,Relaxed Fit,5,Stretchable,965,4.1,66
Urbano Plus,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,1471,4.3,143
Urbano Fashion,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,639,3.8,2800
Moda Rapido,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,749,4.2,84
Jack & Jones,Clean Look,Low-Rise,Regular,Skinny Fit,5,Stretchable,2379,4.4,17
HERE&NOW,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,879,3.9,506
Forca by Lifestyle,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,749,4.3,30
Jack & Jones,Clean Look,Low-Rise,Regular,Slim Fit,5,Stretchable,2294,4.5,64
Mast & Harbour,Clean Look,Mid-Rise,Regular,Wide Leg,5,Stretchable,791,3.6,59
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1499,4.3,21
Jack & Jones,Clean Look,Low-Rise,Regular,Slim Fit,5,Stretchable,1249,4.2,270
Roadster,Low Distress,Mid-Rise,Regular,Skinny Fit,5,Stretchable,599,3.7,869
Urbano Fashion,Clean Look,Mid-Rise,Regular,Bootcut,5,Stretchable,797,3.9,1100
Urbano Plus,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,1199,4.5,25
Roadster,Clean Look,Mid-Rise,Regular,Skinny Fit,5,Stretchable,629,4.0,441
Mast & Harbour,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,1112,3.7,124
Powerlook,Clean Look,Mid-Rise,Regular,Regular Fit,6 and more,Non Stretchable,1880,4.133333333333333,124
Roadster,Clean Look,Mid-Rise,Regular,Skinny Fit,5,Stretchable,664,3.7,3200
Flying Machine,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1374,4.2,162
VAN HEUSEN DENIM LABS,Clean Look,Mid-Rise,Regular,Slim Fit,5,Non Stretchable,2414,3.9866666666666664,162
Flying Machine,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1646,4.1,284
WROGN,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1079,4.6,5
HIGHLANDER,Clean Look,Mid-Rise,Regular,Relaxed Fit,5,Stretchable,624,3.7,75
Roadster,Clean Look,Mid-Rise,Regular,Straight Fit,5,Stretchable,839,4.0,5
Mast & Harbour,Clean Look,Mid-Rise,Regular,Relaxed Fit,5,Non Stretchable,999,4.5,40
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,2999,4.3,6400
Kook N Keech,Clean Look,Mid-Rise,Regular,Regular Fit,6 and more,Stretchable,791,4.2,115
Jack & Jones,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,1499,4.1,183
Roadster,Clean Look,Mid-Rise,Cropped,Regular Fit,5,Stretchable,779,3.9,666
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1499,4.3,44
Jack & Jones,Clean Look,Low-Rise,Regular,Slim Fit,5,Stretchable,2124,4.2,24
Hubberholme,Clean Look,Mid-Rise,Regular,Relaxed Fit,5,Stretchable,1359,4.0,249
Jack & Jones,Clean Look,Mid-Rise,Regular,Straight Fit,5,Stretchable,2294,4.2,132
Jack & Jones,Clean Look,Low-Rise,Regular,Slim Fit,5,Stretchable,1649,4.2,139
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Non Stretchable,1829,4.4,239
Roadster,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,619,4.0,458
VAN HEUSEN DENIM LABS,Clean Look,Mid-Rise,Regular,Slim Fit,4,Non Stretchable,1724,3.9866666666666664,458
Ducati,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1224,4.8,9
Roadster,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,879,3.9,658
Mast & Harbour,Mildly Distressed,Mid-Rise,Regular,Skinny Fit,5,Stretchable,639,3.9,682
HERE&NOW,Highly Distressed,Mid-Rise,Regular,Skinny Fit,5,Stretchable,599,3.5,381
Jack & Jones,Clean Look,Low-Rise,Regular,Skinny Fit,5,Stretchable,1749,4.0,137
Moda Rapido,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,599,4.0,151
